Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
41001 Aguadulce;;;Renta neta media por hogar;2023;25.030
41001 Aguadulce;4100101 Aguadulce distrito 01;;Renta neta media por hogar;2023;26.125
41001 Aguadulce;4100101 Aguadulce distrito 01;4100101001 Aguadulce sección 01001;Renta neta media por hogar;2023;26.125
41001 Aguadulce;4100102 Aguadulce distrito 02;;Renta neta media por hogar;2023;24.184
41001 Aguadulce;4100102 Aguadulce distrito 02;4100102001 Aguadulce sección 02001;Renta neta media por hogar;2023;24.184
41002 Alanís;;;Renta neta media por hogar;2023;22.828
41002 Alanís;4100201 Alanís distrito 01;;Renta neta media por hogar;2023;22.828
41002 Alanís;4100201 Alanís distrito 01;4100201001 Alanís sección 01001;Renta neta media por hogar;2023;21.648
41002 Alanís;4100201 Alanís distrito 01;4100201002 Alanís sección 01002;Renta neta media por hogar;2023;24.062
41003 Albaida del Aljarafe;;;Renta neta media por hogar;2023;28.578
41003 Albaida del Aljarafe;4100301 Albaida del Aljarafe distrito 01;;Renta neta media por hogar;2023;28.578
41003 Albaida del Aljarafe;4100301 Albaida del Aljarafe distrito 01;4100301001 Albaida del Aljarafe sección 01001;Renta neta media por hogar;2023;29.937
41003 Albaida del Aljarafe;4100301 Albaida del Aljarafe distrito 01;4100301002 Albaida del Aljarafe sección 01002;Renta neta media por hogar;2023;27.418
41004 Alcalá de Guadaíra;;;Renta neta media por hogar;2023;34.143
41004 Alcalá de Guadaíra;4100401 Alcalá de Guadaíra distrito 01;;Renta neta media por hogar;2023;36.022
41004 Alcalá de Guadaíra;4100401 Alcalá de Guadaíra distrito 01;4100401002 Alcalá de Guadaíra sección 01002;Renta neta media por hogar;2023;37.102
41004 Alcalá de Guadaíra;4100401 Alcalá de Guadaíra distrito 01;4100401003 Alcalá de Guadaíra sección 01003;Renta neta media por hogar;2023;34.420
41004 Alcalá de Guadaíra;4100402 Alcalá de Guadaíra distrito 02;;Renta neta media por hogar;2023;33.288
41004 Alcalá de Guadaíra;4100402 Alcalá de Guadaíra distrito 02;4100402001 Alcalá de Guadaíra sección 02001;Renta neta media por hogar;2023;31.662
41004 Alcalá de Guadaíra;4100402 Alcalá de Guadaíra distrito 02;4100402003 Alcalá de Guadaíra sección 02003;Renta neta media por hogar;2023;36.335
41004 Alcalá de Guadaíra;4100402 Alcalá de Guadaíra distrito 02;4100402004 Alcalá de Guadaíra sección 02004;Renta neta media por hogar;2023;31.376
41004 Alcalá de Guadaíra;4100402 Alcalá de Guadaíra distrito 02;4100402005 Alcalá de Guadaíra sección 02005;Renta neta media por hogar;2023;34.939
41004 Alcalá de Guadaíra;4100402 Alcalá de Guadaíra distrito 02;4100402006 Alcalá de Guadaíra sección 02006;Renta neta media por hogar;2023;32.355
41004 Alcalá de Guadaíra;4100403 Alcalá de Guadaíra distrito 03;;Renta neta media por hogar;2023;31.176
41004 Alcalá de Guadaíra;4100403 Alcalá de Guadaíra distrito 03;4100403001 Alcalá de Guadaíra sección 03001;Renta neta media por hogar;2023;34.377
41004 Alcalá de Guadaíra;4100403 Alcalá de Guadaíra distrito 03;4100403002 Alcalá de Guadaíra sección 03002;Renta neta media por hogar;2023;32.083
41004 Alcalá de Guadaíra;4100403 Alcalá de Guadaíra distrito 03;4100403003 Alcalá de Guadaíra sección 03003;Renta neta media por hogar;2023;37.165
41004 Alcalá de Guadaíra;4100403 Alcalá de Guadaíra distrito 03;4100403004 Alcalá de Guadaíra sección 03004;Renta neta media por hogar;2023;28.625
