Municipios,Distritos,Secciones,Indicadores de renta media y mediana,Periodo,Total,distrito_limpio
41091 Sevilla,4109101 Sevilla distrito 01,4109101001 Sevilla sección 01001,Renta neta media por hogar,2023,42893.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101002 Sevilla sección 01002,Renta neta media por hogar,2023,45155.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101003 Sevilla sección 01003,Renta neta media por hogar,2023,41317.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101004 Sevilla sección 01004,Renta neta media por hogar,2023,45585.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101005 Sevilla sección 01005,Renta neta media por hogar,2023,42404.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101006 Sevilla sección 01006,Renta neta media por hogar,2023,45142.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101007 Sevilla sección 01007,Renta neta media por hogar,2023,53338.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101008 Sevilla sección 01008,Renta neta media por hogar,2023,44815.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101009 Sevilla sección 01009,Renta neta media por hogar,2023,46773.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101010 Sevilla sección 01010,Renta neta media por hogar,2023,44599.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101011 Sevilla sección 01011,Renta neta media por hogar,2023,47485.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101012 Sevilla sección 01012,Renta neta media por hogar,2023,49089.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101013 Sevilla sección 01013,Renta neta media por hogar,2023,51647.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101014 Sevilla sección 01014,Renta neta media por hogar,2023,42883.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101015 Sevilla sección 01015,Renta neta media por hogar,2023,,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101016 Sevilla sección 01016,Renta neta media por hogar,2023,45707.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101017 Sevilla sección 01017,Renta neta media por hogar,2023,40332.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101018 Sevilla sección 01018,Renta neta media por hogar,2023,36490.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101019 Sevilla sección 01019,Renta neta media por hogar,2023,35503.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101020 Sevilla sección 01020,Renta neta media por hogar,2023,36576.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101021 Sevilla sección 01021,Renta neta media por hogar,2023,47913.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101022 Sevilla sección 01022,Renta neta media por hogar,2023,38200.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101023 Sevilla sección 01023,Renta neta media por hogar,2023,38323.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101024 Sevilla sección 01024,Renta neta media por hogar,2023,37853.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101025 Sevilla sección 01025,Renta neta media por hogar,2023,38441.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101026 Sevilla sección 01026,Renta neta media por hogar,2023,47520.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101027 Sevilla sección 01027,Renta neta media por hogar,2023,60764.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101028 Sevilla sección 01028,Renta neta media por hogar,2023,39622.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101029 Sevilla sección 01029,Renta neta media por hogar,2023,39704.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101030 Sevilla sección 01030,Renta neta media por hogar,2023,47335.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101032 Sevilla sección 01032,Renta neta media por hogar,2023,41174.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101033 Sevilla sección 01033,Renta neta media por hogar,2023,39843.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101034 Sevilla sección 01034,Renta neta media por hogar,2023,57972.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101035 Sevilla sección 01035,Renta neta media por hogar,2023,52765.0,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101036 Sevilla sección 01036,Renta neta media por hogar,2023,,Palmera - Bellavista
41091 Sevilla,4109101 Sevilla distrito 01,4109101037 Sevilla sección 01037,Renta neta media por hogar,2023,71967.0,Palmera - Bellavista
